x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,horizontal,vertical,clockwise circle,counterclockwise circle,nothing
-15,-1,-13,-3,-12,-2,-6,1,-5,0,-3,0,-2,0,-2,0,-1,0,4,1,9,1,10,1,10,1,11,2,12,-1,1,0,0,0,0
12,-1,10,-1,8,-2,6,-1,3,-1,2,-1,0,-1,-2,0,-4,0,-5,1,-6,1,-7,1,-7,2,-7,2,-8,2,1,0,0,0,0
-27,-5,-22,1,-13,2,-10,2,-11,5,-3,2,4,0,5,1,8,1,8,0,12,0,13,0,12,-1,13,-2,17,-3,1,0,0,0,0
-15,1,-14,1,-13,1,-11,1,-8,1,-7,1,-3,0,-1,0,1,-1,3,-1,4,-1,7,-1,15,-1,18,-1,19,-1,1,0,0,0,0
-14,1,-14,1,-12,2,-10,1,-6,-1,-4,-1,-2,0,1,1,3,0,5,1,5,1,8,1,12,-1,14,1,17,1,1,0,0,0,0
-19,0,-16,1,-10,1,-6,1,-2,1,-2,0,-1,1,-1,0,0,1,6,0,7,0,5,-3,6,-3,15,-3,14,-3,1,0,0,0,0
-11,0,-10,0,-8,0,-7,0,-4,0,-3,0,-2,0,-1,0,3,0,4,0,4,0,5,0,6,1,8,1,9,0,1,0,0,0,0
-18,0,-17,0,-14,0,-6,0,-3,0,-2,0,-1,0,1,-1,3,0,4,1,7,1,10,1,11,1,12,0,12,1,1,0,0,0,0
-12,0,-12,0,-11,1,-10,2,-10,2,-4,0,0,0,1,0,3,0,4,0,7,0,8,0,9,0,12,-1,13,-2,1,0,0,0,0
-19,-5,-16,-4,-15,-3,-9,-3,-8,-3,-6,-2,-5,-2,-1,-1,2,1,3,1,5,2,13,3,15,3,17,3,19,3,1,0,0,0,0
-21,-2,-21,-1,-15,-1,-12,-1,-10,0,-6,-1,-4,0,0,0,2,0,4,-1,7,1,13,2,17,3,21,3,24,2,1,0,0,0,0
-23,-1,-21,-1,-19,-1,-14,-1,-10,0,-8,-1,-6,1,-1,1,7,1,7,1,10,2,13,0,18,0,23,1,25,-2,1,0,0,0,0
11,1,10,0,9,0,7,0,6,1,4,0,3,0,2,0,-1,0,-6,1,-7,1,-8,1,-10,0,-12,1,-14,0,1,0,0,0,0
30,1,26,1,24,2,21,3,7,1,3,0,1,-1,-4,-3,-11,-1,-13,-1,-14,-1,-15,-2,-16,-1,-15,-2,-15,-2,1,0,0,0,0
